,street_add,city,state,zip,l1_ports,l2_ports,l3_ports,sum_ports,ev_network,longitude,latitude,ev_sockets,geometry,vehicle
1646,E 17th Place,Aurora,CO,80045,0,2,0,2,ChargePoint Network,-104.80017,39.742966,1,POINT (-104.80017 39.742966),
1647,East 45th Avenue,Denver,CO,80239,0,11,0,11,SemaCharge Network,-104.845147,39.77754,1,POINT (-104.845147 39.77754),
1648,Evans Rd,Cañon City,CO,81212,0,1,0,1,ChargePoint Network,-105.156019,38.43627,1,POINT (-105.156019 38.43627),
1649,Evans Rd,Cañon City,CO,81212,0,1,0,1,ChargePoint Network,-105.156021,38.436293,1,POINT (-105.156021 38.436293),
1650,Evans Rd,Cañon City,CO,81212,0,1,0,1,ChargePoint Network,-105.156022,38.435949,1,POINT (-105.156022 38.435949),
1651,Evans Rd,Florence,CO,81226,0,1,0,1,ChargePoint Network,-105.155689,38.432132,1,POINT (-105.155689 38.432132),
1652,"Evans Rd, Cañon City, CO, USA",Cañon City,CO,81212,0,1,0,1,ChargePoint Network,-105.156169,38.43569,1,POINT (-105.156169 38.43569),
1653,"Evans Rd, Cañon City, CO, USA",Cañon City,CO,81212,0,1,0,1,ChargePoint Network,-105.15644,38.434468,1,POINT (-105.15644 38.434468),
1654,Evans Road,Cañon City,CO,81212,0,1,0,1,ChargePoint Network,-105.155668,38.432132,1,POINT (-105.155668 38.432132),
1655,Fairground Access West,Longmont,CO,80501,0,2,0,2,ChargePoint Network,-105.128864,40.155982,1,POINT (-105.128864 40.155982),
1656,Federal Center Building 24,Denver,CO,80215,0,2,0,2,ChargePoint Network,-105.115239,39.72248,1,POINT (-105.115239 39.72248),
1657,Federal Center Building 25,Denver,CO,80215,0,2,0,2,ChargePoint Network,-105.115356,39.722629,1,POINT (-105.115356 39.722629),
1658,Federal Center Building 25,Denver,CO,80215,0,2,0,2,ChargePoint Network,-105.115322,39.72264,1,POINT (-105.115322 39.72264),
1659,Federal Center Building 25,Denver,CO,80215,0,2,0,2,ChargePoint Network,-105.114491,39.722804,1,POINT (-105.114491 39.722804),
1660,Federal Center building 810,Lakewood,CO,80226,0,2,0,2,ChargePoint Network,-105.125979,39.712396,1,POINT (-105.125979 39.712396),
1661,Federal Center building 810,Lakewood,CO,80226,0,2,0,2,ChargePoint Network,-105.125735,39.712415,1,POINT (-105.125735 39.712415),
1662,GWV9+32,Littleton,CO,80125,0,1,0,1,RIVIAN_WAYPOINTS,-105.084488,39.543168,1,POINT (-105.084488 39.543168),
1663,GWV9+32,Littleton,CO,80125,0,1,0,1,RIVIAN_WAYPOINTS,-105.0845333,39.5431036,1,POINT (-105.0845333 39.5431036),
1664,Harrison & 3rd,Leadville,CO,80461,0,0,1,1,ChargePoint Network,-106.291219,39.246257,"4, 2",POINT (-106.291219 39.246257),
1665,Kamm Ave & Main,New Castle,CO,81647,0,2,0,2,ChargePoint Network,-107.536476,39.571358,1,POINT (-107.536476 39.571358),
1666,Main and 1st,Aspen,CO,81611,0,2,0,2,ChargePoint Network,-106.82388,39.191784,1,POINT (-106.82388 39.191784),
1667,McGuckin Way,Boulder,CO,80302,0,2,0,2,ChargePoint Network,-105.261007,40.016779,1,POINT (-105.261007 40.016779),
1668,Mountainside Dr,Estes Park,CO,80517,0,2,0,2,ChargePoint Network,-105.574326,40.33826,1,POINT (-105.574326 40.33826),
1669,Ncar Rd,Boulder,CO,80305,0,2,0,2,ChargePoint Network,-105.273614,39.978916,1,POINT (-105.273614 39.978916),
1670,Park Office Access,Aurora,CO,80014,0,2,0,2,ChargePoint Network,-104.830065,39.62684,1,POINT (-104.830065 39.62684),
1671,Park Pl,Superior,CO,80027,0,2,0,2,ChargePoint Network,-105.166117,39.953549,1,POINT (-105.166117 39.953549),
1672,Patterson Road west of 28 ¼ Road,Grand Junction,CO,81506,0,2,0,2,ChargePoint Network,-108.530665,39.092135,1,POINT (-108.530665 39.092135),
1673,Routt Street,Denver,CO,80228,0,2,0,2,ChargePoint Network,-105.125965,39.712869,1,POINT (-105.125965 39.712869),
1674,S Adams County Pkwy,Brighton,CO,80601,0,2,0,2,ChargePoint Network,-104.81291,39.922873,1,POINT (-104.81291 39.922873),
1675,S Blackhawk St,Aurora,CO,80014,0,2,0,2,ChargePoint Network,-104.824596,39.672948,1,POINT (-104.824596 39.672948),
1676,S Blackhawk St,Aurora,CO,80014,0,2,0,2,ChargePoint Network,-104.824709,39.673048,1,POINT (-104.824709 39.673048),
1677,S Railroad St,Buena Vista,CO,81211,0,2,0,2,ChargePoint Network,-106.130572,38.841903,1,POINT (-106.130572 38.841903),
1678,Stadium Dr,Boulder,CO,80302,0,2,0,2,ChargePoint Network,-105.265096,40.010405,1,POINT (-105.265096 40.010405),
1679,Stadium Dr,Boulder,CO,80302,0,2,0,2,ChargePoint Network,-105.264989,40.010576,1,POINT (-105.264989 40.010576),
1680,Stadium Dr,Boulder,CO,80302,0,2,0,2,ChargePoint Network,-105.264978,40.010582,1,POINT (-105.264978 40.010582),
1681,Stadium Dr,Boulder,CO,80302,0,2,0,2,ChargePoint Network,-105.264857,40.010575,1,POINT (-105.264857 40.010575),
1682,Stadium Dr,Boulder,CO,80302,0,2,0,2,ChargePoint Network,-105.265063,40.010579,1,POINT (-105.265063 40.010579),
1683,Stadium Dr.,Boulder,CO,80302,0,2,0,2,ChargePoint Network,-105.264618,40.010577,1,POINT (-105.264618 40.010577),
1684,Stadium Dr.,Boulder,CO,80302,0,2,0,2,ChargePoint Network,-105.264562,40.010574,1,POINT (-105.264562 40.010574),
1685,Stadium Dr.,Boulder,CO,80302,0,2,0,2,ChargePoint Network,-105.264739,40.010541,1,POINT (-105.264739 40.010541),
1686,Steely Dr,Fort Collins,CO,80524,0,2,0,2,ChargePoint Network,-105.063664,40.599337,1,POINT (-105.063664 40.599337),
1687,Superior Plaza Way,Superior,CO,80027,0,2,0,2,ChargePoint Network,-105.163786,39.956098,1,POINT (-105.163786 39.956098),
1688,Sycamore St,Superior,CO,80027,0,2,0,2,ChargePoint Network,-105.173354,39.954902,1,POINT (-105.173354 39.954902),
1689,Timberwood Dr,Fort Collins,CO,80528,0,2,0,2,ChargePoint Network,-105.019594,40.52082,1,POINT (-105.019594 40.52082),
1690,Timberwood Dr,Fort Collins,CO,80528,0,2,0,2,ChargePoint Network,-105.019672,40.520814,1,POINT (-105.019672 40.520814),
1691,USFS-391,Pagosa Springs,CO,81147,0,0,1,1,ChargePoint Network,-106.792402,37.473169,"4, 2",POINT (-106.792402 37.473169),
1692,USFS-391,Pagosa Springs,CO,81147,0,2,0,2,ChargePoint Network,-106.79222,37.473045,1,POINT (-106.79222 37.473045),
1693,USFS-391,Pagosa Springs,CO,81147,0,2,0,2,ChargePoint Network,-106.79219,37.473,1,POINT (-106.79219 37.473),
1694,W Crestline Ave,Littleton,CO,80120,0,2,0,2,ChargePoint Network,-105.012776,39.618728,1,POINT (-105.012776 39.618728),
1695,Westminster Blvd,Westminster,CO,80020,0,2,0,2,ChargePoint Network,-105.072894,39.892651,1,POINT (-105.072894 39.892651),
1696,York St & Thornton Pkwy,Thornton,CO,80229,0,2,0,2,ChargePoint Network,-104.95931,39.87025,1,POINT (-104.95931 39.87025),
1697,York St Thornton pkwy,Thornton,CO,80229,0,2,0,2,ChargePoint Network,-104.95925,39.87025,1,POINT (-104.95925 39.87025),
1698,KMeans Model,,,,0,4,0,4,,-108.6572208,40.84007538,"3, 1, 2",POINT (-108.6572207692308 40.84007538461538),1
1699,KMeans Model,,,,0,4,0,4,,-103.0368571,37.29801289,"3, 1, 2",POINT (-103.0368571052632 37.29801289473684),1
1700,KMeans Model,,,,0,4,0,4,,-106.619131,38.035246,"3, 1, 2",POINT (-106.619131 38.035246),1
1701,KMeans Model,,,,0,4,0,4,,-105.9754371,40.88093,"3, 1, 2",POINT (-105.9754371428571 40.88093),1
1702,AP Model,,,,0,4,0,4,,-108.73028,40.86952,"3, 1, 2",POINT (-108.73028 40.86952),1
1703,AP Model,,,,0,4,0,4,,-103.55269,37.03999,"3, 1, 2",POINT (-103.55269 37.03999),1
1704,AP Model,,,,0,4,0,4,,-105.87889,40.8715,"3, 1, 2",POINT (-105.87889 40.8715),1
1705,Snapped AP Model,,,,0,4,0,4,,-108.78658,40.74883,"3, 1, 2",POINT (-108.78658 40.74883),1
1706,Snapped AP Model,,,,0,4,0,4,,-103.55072,37.218619,"3, 1, 2",POINT (-103.55072 37.218619),1
1707,Snapped AP Model,,,,0,4,0,4,,-105.751632,40.708712,"3, 1, 2",POINT (-105.751632 40.708712),1
1708,KMeans Model,,,,0,4,0,4,,-108.7199756,40.82244333,"3, 1, 2",POINT (-108.7199755555555 40.82244333333333),2
1709,KMeans Model,,,,0,4,0,4,,-103.0694187,37.26895333,"3, 1, 2",POINT (-103.0694186666667 37.26895333333334),2
1710,KMeans Model,,,,0,4,0,4,,-106.65049,38.00666778,"3, 1, 2",POINT (-106.65049 38.00666777777778),2
1711,KMeans Model,,,,0,4,0,4,,-105.812855,40.82925,"3, 1, 2",POINT (-105.812855 40.82925),2
1712,KMeans Model,,,,0,4,0,4,,-104.059768,38.822518,"3, 1, 2",POINT (-104.059768 38.822518),2
1713,AP Model,,,,0,4,0,4,,-103.08393,37.27918,"3, 1, 2",POINT (-103.08393 37.27918),2
1714,AP Model,,,,0,4,0,4,,-105.80783,40.83834,"3, 1, 2",POINT (-105.80783 40.83834),2
1715,AP Model,,,,0,4,0,4,,-108.7277,40.81292,"3, 1, 2",POINT (-108.7277 40.81292),2
1716,AP Model,,,,0,4,0,4,,-106.69218,38.13928,"3, 1, 2",POINT (-106.69218 38.13928),2
1717,AP Model,,,,0,4,0,4,,-104.05473,38.84009,"3, 1, 2",POINT (-104.05473 38.84009),2
1718,Snapped AP Model,,,,0,4,0,4,,-103.083926,37.279167,"3, 1, 2",POINT (-103.083926 37.279167),2
1719,Snapped AP Model,,,,0,4,0,4,,-105.751134,40.708987,"3, 1, 2",POINT (-105.751134 40.708987),2
1720,Snapped AP Model,,,,0,4,0,4,,-108.77993,40.74415,"3, 1, 2",POINT (-108.77993 40.74415),2
1721,Snapped AP Model,,,,0,4,0,4,,-106.652554,38.237747,"3, 1, 2",POINT (-106.652554 38.237747),2
1722,Snapped AP Model,,,,0,4,0,4,,-104.054725,38.84009,"3, 1, 2",POINT (-104.054725 38.84009),2
1723,KMeans Model,,,,0,4,0,4,,-108.4031485,37.66732563,"2, 4",POINT (-108.4031484768212 37.66732562913907),3
1724,KMeans Model,,,,0,4,0,4,,-102.2984913,38.85594683,"2, 4",POINT (-102.2984912698413 38.85594682539683),3
1725,KMeans Model,,,,0,4,0,4,,-108.5331382,40.63171625,"2, 4",POINT (-108.5331382253521 40.63171625352113),3
1726,KMeans Model,,,,0,4,0,4,,-106.3886436,40.04996843,"2, 4",POINT (-106.3886436363636 40.04996843434343),3
1727,KMeans Model,,,,0,4,0,4,,-102.6006538,37.24141087,"2, 4",POINT (-102.6006538405797 37.24141086956521),3
1728,KMeans Model,,,,0,4,0,4,,-103.0729603,38.78836394,"2, 4",POINT (-103.0729603076923 38.78836393846154),3
1729,KMeans Model,,,,0,4,0,4,,-103.4587685,37.23519642,"2, 4",POINT (-103.4587684862385 37.23519642201835),3
1730,KMeans Model,,,,0,4,0,4,,-106.6097987,38.29510205,"2, 4",POINT (-106.6097987121212 38.29510204545455),3
1731,KMeans Model,,,,0,4,0,4,,-108.6081277,38.19718238,"2, 4",POINT (-108.6081277056277 38.19718238095238),3
1732,KMeans Model,,,,0,4,0,4,,-106.1627527,40.81968594,"2, 4",POINT (-106.1627526732673 40.81968594059406),3
1733,KMeans Model,,,,0,4,0,4,,-102.28594,39.87292549,"2, 4",POINT (-102.28594 39.8729254887218),3
1734,AP Model,,,,0,4,0,4,,-106.40136,40.06372,"2, 4",POINT (-106.40136 40.06372),3
1735,AP Model,,,,0,4,0,4,,-102.90673,37.27935,"2, 4",POINT (-102.90673 37.27935),3
1736,AP Model,,,,0,4,0,4,,-102.27685,37.22206,"2, 4",POINT (-102.27685 37.22206),3
1737,AP Model,,,,0,4,0,4,,-103.51957,37.21831,"2, 4",POINT (-103.51957 37.21831),3
1738,AP Model,,,,0,4,0,4,,-103.06401,38.83447,"2, 4",POINT (-103.06401 38.83447),3
1739,AP Model,,,,0,4,0,4,,-105.62063,38.81665,"2, 4",POINT (-105.62063 38.81665),3
1740,AP Model,,,,0,4,0,4,,-108.78337,38.27117,"2, 4",POINT (-108.78337 38.27117),3
1741,AP Model,,,,0,4,0,4,,-108.53757,40.7004,"2, 4",POINT (-108.53757 40.7004),3
1742,AP Model,,,,0,4,0,4,,-106.35947,40.86221,"2, 4",POINT (-106.35947 40.86221),3
1743,AP Model,,,,0,4,0,4,,-108.47228,39.57546,"2, 4",POINT (-108.47228 39.57546),3
1744,AP Model,,,,0,4,0,4,,-102.29518,38.83295,"2, 4",POINT (-102.29518 38.83295),3
1745,AP Model,,,,0,4,0,4,,-102.24079,39.88579,"2, 4",POINT (-102.24079 39.88579),3
1746,AP Model,,,,0,4,0,4,,-108.39974,37.65943,"2, 4",POINT (-108.39974 37.65943),3
1747,AP Model,,,,0,4,0,4,,-105.73041,40.71355,"2, 4",POINT (-105.73041 40.71355),3
1748,AP Model,,,,0,4,0,4,,-106.70952,38.2626,"2, 4",POINT (-106.70952 38.2626),3
1749,AP Model,,,,0,4,0,4,,-108.49875,38.14186,"2, 4",POINT (-108.49875 38.14186),3
1750,Snapped AP Model,,,,0,4,0,4,,-106.401598,40.064012,"2, 4",POINT (-106.401598 40.064012),3
1751,Snapped AP Model,,,,0,4,0,4,,-102.906733,37.279353,"2, 4",POINT (-102.906733 37.279353),3
1752,Snapped AP Model,,,,0,4,0,4,,-102.304306,37.380877,"2, 4",POINT (-102.304306 37.380877),3
1753,Snapped AP Model,,,,0,4,0,4,,-103.51961,37.218298,"2, 4",POINT (-103.51961 37.218298),3
1754,Snapped AP Model,,,,0,4,0,4,,-103.057475,38.833366,"2, 4",POINT (-103.057475 38.833366),3
1755,Snapped AP Model,,,,0,4,0,4,,-105.62063,38.816657,"2, 4",POINT (-105.62063 38.816657),3
1756,Snapped AP Model,,,,0,4,0,4,,-108.7822,38.27064,"2, 4",POINT (-108.7822 38.27064),3
1757,Snapped AP Model,,,,0,4,0,4,,-108.5541,40.64751,"2, 4",POINT (-108.5541 40.64751),3
1758,Snapped AP Model,,,,0,4,0,4,,-106.31291,40.86013,"2, 4",POINT (-106.31291 40.86013),3
1759,Snapped AP Model,,,,0,4,0,4,,-108.748443,39.493079,"2, 4",POINT (-108.748443 39.493079),3
1760,Snapped AP Model,,,,0,4,0,4,,-102.295176,38.832954,"2, 4",POINT (-102.295176 38.832954),3
1761,Snapped AP Model,,,,0,4,0,4,,-102.240791,39.88579,"2, 4",POINT (-102.240791 39.88579),3
1762,Snapped AP Model,,,,0,4,0,4,,-108.358548,37.588278,"2, 4",POINT (-108.358548 37.588278),3
1763,Snapped AP Model,,,,0,4,0,4,,-105.730389,40.713557,"2, 4",POINT (-105.730389 40.713557),3
1764,Snapped AP Model,,,,0,4,0,4,,-106.709728,38.262675,"2, 4",POINT (-106.709728 38.262675),3
1765,Snapped AP Model,,,,0,4,0,4,,-108.498693,38.141918,"2, 4",POINT (-108.498693 38.141918),3
1766,KMeans Model,,,,0,4,0,4,,-103.4156922,37.05758459,"3, 1, 2",POINT (-103.4156921621622 37.05758459459459),4
1767,KMeans Model,,,,0,4,0,4,,-108.92932,40.92612,"3, 1, 2",POINT (-108.92932 40.92612),4
1768,KMeans Model,,,,0,4,0,4,,-106.5409,39.09232,"3, 1, 2",POINT (-106.5409 39.09232),4
