,vehicle,seed,sum_ports,fal_typ,geometry,longitude,latitude
241,10,960569,4,Chargers out of range,POINT (-108.75448 40.7245),-108.75448,40.7245
242,10,960619,4,Chargers out of range,POINT (-108.42488 40.84123),-108.42488,40.84123
243,10,960676,4,Chargers out of range,POINT (-103.11982 37.27918),-103.11982,37.27918
244,10,960681,4,Chargers out of range,POINT (-103.12957 37.17854),-103.12957,37.17854
245,10,960792,4,Chargers out of range,POINT (-103.25409 37.04411),-103.25409,37.04411
246,10,960797,4,Chargers out of range,POINT (-108.83426 40.75048),-108.83426,40.75048
247,10,960833,4,Chargers out of range,POINT (-108.55442 41.01038),-108.55442,41.01038
248,10,960835,4,Chargers out of range,POINT (-108.96645 40.83657),-108.96645,40.83657
249,10,960885,4,Chargers out of range,POINT (-108.51113 40.70781),-108.51113,40.70781
250,10,960920,4,Chargers out of range,POINT (-103.12971 37.17933),-103.12971,37.17933
251,10,960931,4,Chargers out of range,POINT (-102.94108 37.27926),-102.94108,37.27926
252,10,960968,4,Chargers out of range,POINT (-108.75283 40.89916),-108.75283,40.89916
253,10,960987,4,Chargers out of range,POINT (-108.74568 40.70824),-108.74568,40.70824
254,10,961027,4,Chargers out of range,POINT (-108.43939 40.85296),-108.43939,40.85296
255,10,961036,4,Chargers out of range,POINT (-102.42451 38.71059),-102.42451,38.71059
256,10,961096,4,Chargers out of range,POINT (-108.72504 40.86719),-108.72504,40.86719
257,10,961142,4,Chargers out of range,POINT (-108.79624 40.75025),-108.79624,40.75025
258,10,961144,4,Chargers out of range,POINT (-108.73615 40.70642),-108.73615,40.70642
259,10,961266,4,Chargers out of range,POINT (-108.89802 40.81697),-108.89802,40.81697
260,10,961302,4,Chargers out of range,POINT (-108.76034 40.726),-108.76034,40.726
261,10,961385,4,Chargers out of range,POINT (-108.75187 40.89825),-108.75187,40.89825
262,10,961391,4,Chargers out of range,POINT (-102.07177 39.83325),-102.07177,39.83325
263,10,961450,4,Chargers out of range,POINT (-103.58663 37.06887),-103.58663,37.06887
264,10,961458,4,Chargers out of range,POINT (-108.41046 40.82032),-108.41046,40.82032
265,10,961462,4,Chargers out of range,POINT (-108.39038 40.66364),-108.39038,40.66364
266,10,961485,4,Chargers out of range,POINT (-108.96459 40.84471),-108.96459,40.84471
267,10,961528,4,Chargers out of range,POINT (-108.40035 40.70696),-108.40035,40.70696
268,10,961619,4,Chargers out of range,POINT (-108.41849 40.72624),-108.41849,40.72624
269,10,961670,4,Chargers out of range,POINT (-108.53265 40.93341),-108.53265,40.93341
270,10,961765,4,Chargers out of range,POINT (-108.49217 40.69209),-108.49217,40.69209
271,10,961858,4,Chargers out of range,POINT (-108.83524 40.59733),-108.83524,40.59733
272,10,961902,4,Chargers out of range,POINT (-108.40081 40.69871),-108.40081,40.69871
273,10,961921,4,Chargers out of range,POINT (-102.96537 37.2792),-102.96537,37.2792
274,10,961986,4,Chargers out of range,POINT (-108.83856 40.76434),-108.83856,40.76434
275,10,961996,4,Chargers out of range,POINT (-104.05513 38.84009),-104.05513,38.84009
276,10,962159,4,Chargers out of range,POINT (-104.23801 38.69468),-104.23801,38.69468
277,10,962230,4,Chargers out of range,POINT (-104.09153 38.7966),-104.09153,38.7966
278,10,962244,4,Chargers out of range,POINT (-103.03168 37.27919),-103.03168,37.27919
279,10,962323,4,Chargers out of range,POINT (-104.09214 38.84007),-104.09214,38.84007
280,10,962326,4,Chargers out of range,POINT (-103.27575 37.06196),-103.27575,37.06196
281,10,962340,4,Chargers out of range,POINT (-102.85094 37.38209),-102.85094,37.38209
282,10,962351,4,Chargers out of range,POINT (-102.19552 37.2948),-102.19552,37.2948
283,10,962369,4,Chargers out of range,POINT (-108.36131 40.80811),-108.36131,40.80811
284,10,962375,4,Chargers out of range,POINT (-108.53236 40.64061),-108.53236,40.64061
285,10,962430,4,Chargers out of range,POINT (-104.08782 38.84012),-104.08782,38.84012
286,10,962548,4,Chargers out of range,POINT (-108.92549 40.80902),-108.92549,40.80902
287,10,962571,4,Chargers out of range,POINT (-108.43722 40.88283),-108.43722,40.88283
288,10,962597,4,Chargers out of range,POINT (-108.50196 40.70266),-108.50196,40.70266
289,10,962615,4,Chargers out of range,POINT (-108.43744 40.61835),-108.43744,40.61835
290,10,962638,4,Chargers out of range,POINT (-104.22867 38.83931),-104.22867,38.83931
291,10,962684,4,Chargers out of range,POINT (-108.79649 40.934),-108.79649,40.934
292,10,962685,4,Chargers out of range,POINT (-104.23687 38.83928),-104.23687,38.83928
293,10,962689,4,Chargers out of range,POINT (-108.88631 40.72909),-108.88631,40.72909
294,10,962811,4,Chargers out of range,POINT (-104.18246 38.73812),-104.18246,38.73812
295,10,962827,4,Chargers out of range,POINT (-104.09969 38.84001),-104.09969,38.84001
296,10,962895,4,Chargers out of range,POINT (-103.03814 37.27916),-103.03814,37.27916
297,10,962919,4,Chargers out of range,POINT (-108.39644 40.67037),-108.39644,40.67037
298,10,963020,4,Chargers out of range,POINT (-108.84382 40.76999),-108.84382,40.76999
299,10,963094,4,Chargers out of range,POINT (-108.75283 40.89916),-108.75283,40.89916
300,10,963123,4,Chargers out of range,POINT (-108.46435 40.62283),-108.46435,40.62283
301,10,963227,4,Chargers out of range,POINT (-108.81992 40.75516),-108.81992,40.75516
302,10,963255,4,Chargers out of range,POINT (-108.75322 40.89961),-108.75322,40.89961
303,10,963272,4,Chargers out of range,POINT (-108.40203 40.71231),-108.40203,40.71231
304,10,963294,4,Chargers out of range,POINT (-103.39717 36.9838),-103.39717,36.9838
305,10,963344,4,Chargers out of range,POINT (-108.83465 40.74364),-108.83465,40.74364
306,10,963379,4,Chargers out of range,POINT (-108.67381 40.61961),-108.67381,40.61961
307,10,963415,4,Chargers out of range,POINT (-108.36404 40.91426),-108.36404,40.91426
308,10,963436,4,Chargers out of range,POINT (-108.76539 40.73411),-108.76539,40.73411
309,10,963540,4,Chargers out of range,POINT (-108.70315 40.69317),-108.70315,40.69317
310,10,963589,4,Chargers out of range,POINT (-108.40158 40.70945),-108.40158,40.70945
311,10,963677,4,Chargers out of range,POINT (-106.51755 40.94586),-106.51755,40.94586
312,10,963755,4,Chargers out of range,POINT (-108.76383 40.73312),-108.76383,40.73312
313,10,963821,4,Chargers out of range,POINT (-108.50772 40.7071),-108.50772,40.7071
314,10,963844,4,Chargers out of range,POINT (-103.66475 37.20038),-103.66475,37.20038
315,10,963924,4,Chargers out of range,POINT (-108.79325 40.74952),-108.79325,40.74952
316,10,963934,4,Chargers out of range,POINT (-103.1112 37.38191),-103.1112,37.38191
317,10,963963,4,Chargers out of range,POINT (-108.75983 40.59675),-108.75983,40.59675
318,10,963977,4,Chargers out of range,POINT (-108.50629 40.63787),-108.50629,40.63787
319,10,964061,4,Chargers out of range,POINT (-103.03208 37.17466),-103.03208,37.17466
320,10,964062,4,Chargers out of range,POINT (-108.5325 40.93442),-108.5325,40.93442
321,10,964160,4,Chargers out of range,POINT (-103.03164 37.23567),-103.03164,37.23567
322,10,964226,4,Chargers out of range,POINT (-108.41861 40.8445),-108.41861,40.8445
